t1      ,ch1     ,t2      ,ch2     
   9.191,    0.009,    9.191,   -0.005
   9.208,    0.011,    9.208,   -0.005
   9.224,    0.008,    9.224,   -0.006
   9.241,    0.012,    9.241,   -0.004
   9.257,    0.012,    9.257,   -0.005
   9.273,    0.012,    9.273,   -0.005
   9.290,    0.010,    9.290,   -0.005
   9.306,    0.007,    9.306,   -0.006
   9.322,    0.008,    9.322,   -0.005
   9.339,    0.010,    9.339,   -0.005
   9.355,    0.013,    9.355,   -0.005
   9.372,    0.008,    9.372,   -0.005
   9.388,    0.009,    9.388,   -0.005
   9.404,    0.012,    9.404,   -0.004
   9.421,    0.012,    9.421,   -0.005
   9.437,    0.009,    9.437,   -0.005
   9.454,    0.011,    9.454,   -0.005
   9.470,    0.010,    9.470,   -0.006
   9.486,    0.009,    9.486,   -0.005
   9.503,    0.011,    9.503,   -0.005
   9.519,    0.007,    9.519,   -0.006
   9.536,    0.012,    9.536,   -0.005
   9.552,    0.014,    9.552,   -0.004
   9.568,    0.008,    9.568,   -0.005
   9.585,    0.010,    9.585,   -0.005
   9.601,    0.012,    9.601,   -0.004
   9.617,    0.011,    9.617,   -0.004
   9.634,    0.012,    9.634,   -0.005
   9.650,    0.013,    9.650,   -0.005
   9.667,    0.011,    9.667,   -0.005
   9.683,    0.011,    9.683,   -0.005
   9.699,    0.014,    9.699,   -0.004
   9.716,    0.014,    9.716,   -0.004
   9.732,    0.004,    9.732,   -0.006
   9.748,    0.011,    9.748,   -0.005
   9.765,    0.007,    9.765,   -0.006
   9.781,    0.010,    9.781,   -0.005
   9.798,    0.009,    9.798,   -0.006
   9.814,    0.010,    9.814,   -0.005
   9.830,    0.013,    9.830,   -0.005
   9.847,    0.011,    9.847,   -0.005
   9.863,    0.005,    9.863,   -0.006
   9.880,    0.009,    9.880,   -0.006
   9.896,    0.010,    9.896,   -0.005
   9.912,    0.010,    9.912,   -0.005
   9.929,    0.010,    9.929,   -0.005
   9.945,    0.013,    9.945,   -0.005
   9.961,    0.004,    9.961,   -0.007
   9.978,    0.010,    9.978,   -0.005
   9.994,    0.009,    9.994,   -0.006
  10.011,    0.009,   10.011,   -0.006
  10.027,    0.009,   10.027,   -0.005
  10.043,    0.013,   10.043,   -0.005
  10.060,    0.007,   10.060,   -0.006
  10.076,    0.008,   10.076,   -0.006
  10.092,    0.004,   10.092,   -0.007
  10.109,    0.010,   10.109,   -0.004
  10.125,    0.011,   10.125,   -0.004
  10.142,    0.007,   10.142,   -0.006
  10.158,    0.006,   10.158,   -0.006
  10.175,    0.010,   10.175,   -0.005
  10.191,    0.009,   10.191,   -0.006
  10.207,    0.009,   10.207,   -0.005
  10.224,    0.010,   10.224,   -0.006
  10.240,    0.012,   10.240,   -0.005
  10.256,    0.011,   10.256,   -0.004
  10.273,    0.009,   10.273,   -0.006
  10.289,    0.007,   10.289,   -0.006
  10.306,    0.009,   10.306,   -0.005
  10.322,    0.012,   10.322,   -0.005
  10.338,    0.011,   10.338,   -0.005
  10.355,    0.010,   10.355,   -0.004
  10.371,    0.010,   10.371,   -0.005
  10.387,    0.011,   10.387,   -0.005
  10.404,    0.007,   10.404,   -0.006
  10.420,    0.012,   10.420,   -0.005
  10.437,    0.013,   10.437,   -0.004
  10.453,    0.010,   10.453,   -0.005
  10.469,    0.011,   10.469,   -0.006
  10.486,    0.009,   10.486,   -0.006
  10.502,    0.007,   10.502,   -0.006
  10.518,    0.009,   10.518,   -0.006
  10.535,    0.010,   10.535,   -0.005
  10.551,    0.007,   10.551,   -0.005
  10.568,    0.011,   10.568,   -0.005
  10.584,    0.012,   10.584,   -0.005
  10.600,    0.010,   10.600,   -0.005
  10.617,    0.006,   10.617,   -0.006
  10.633,    0.014,   10.633,   -0.004
  10.650,    0.010,   10.650,   -0.004
  10.666,    0.012,   10.666,   -0.005
  10.682,    0.004,   10.682,   -0.007
  10.699,    0.010,   10.699,   -0.005
  10.715,    0.006,   10.715,   -0.006
  10.732,    0.010,   10.732,   -0.005
  10.748,    0.004,   10.748,   -0.006
  10.764,    0.010,   10.764,   -0.005
  10.781,    0.010,   10.781,   -0.005
